ticker,hypothesis,action,qty,price,price_favorable,session
CYTK,Broad-watch baseline,exit,100.0000,80.3700,80.3700,2026-06-26
DRH,Broad-watch baseline,exit,100.0000,12.2500,12.2500,2026-06-29
IMVT,Broad-watch baseline,exit,100.0000,37.9800,37.9800,2026-06-26
PBI,Broad-watch baseline,mtm,100.0000,17.9200,17.9200,2026-06-29
PGNY,Broad-watch baseline,mtm,100.0000,28.8600,28.8600,2026-06-29
TNA,Broad-watch baseline,exit,100.0000,72.2900,72.4399,2026-06-26
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
ULCC,Broad-watch baseline,exit,100.0000,7.7000,7.7000,2026-06-29
URTY,Broad-watch baseline,exit,100.0000,84.1800,84.3250,2026-06-26
VSTS,A+ baseline,mtm,100.0000,14.8300,14.8300,2026-06-29
AMN,Broad-watch baseline,mtm,100.0000,32.3800,32.3800,2026-06-29
ARMK,Broad-watch baseline,mtm,100.0000,56.2300,56.2300,2026-06-29
BBGI,Broad-watch baseline,mtm,100.0000,26.5100,26.5100,2026-06-29
CALY,Broad-watch baseline,mtm,100.0000,19.2100,19.2100,2026-06-29
CPRX,Broad-watch baseline,mtm,100.0000,31.4600,31.4600,2026-06-29
CXW,Broad-watch baseline,mtm,100.0000,30.2900,30.2900,2026-06-29
IMVT,Broad-watch baseline,mtm,100.0000,38.5100,38.5100,2026-06-29
OGN,Broad-watch baseline,mtm,100.0000,13.5500,13.5500,2026-06-29
PGNY,Broad-watch baseline,mtm,100.0000,28.8600,28.8600,2026-06-29
