exemplar_id,ticker,timing_mode,session,h1_outcome,bucket,fired_faithful_expected,fired_isolated_expected,fired_classes_faithful,fired_classes_isolated
twosmw-gra-2004,GRA,window_sweep,2004-08-23,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-24,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-25,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-08-26,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-27,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-30,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-08-31,skip_gate_rejection,skip,None,None,,
twosmw-gra-2004,GRA,window_sweep,2004-09-01,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-gra-2004,GRA,window_sweep,2004-09-02,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,single_session,2010-02-04,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-06,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-09,surfaced_watch,watch,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-10,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-11,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-12,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-13,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-16,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-17,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-18,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-19,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-20,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-23,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-24,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-25,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-27,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-11-30,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-01,skip_gate_rejection,skip,None,None,,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-02,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-03,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-04,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-07,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-08,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-09,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-10,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-11,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-14,skip_gate_rejection,skip,None,None,,
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-15,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-16,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-17,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-18,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-21,skip_gate_rejection,skip,None,None,high_tight_flag,high_tight_flag
twosmw-pcyc-2010,PCYC,window_sweep,2009-12-22,skip_gate_rejection,skip,None,None,,
