ticker,hypothesis,action,qty,price,price_favorable,session
ADEA,Broad-watch baseline,exit,100.0000,32.1575,32.1575,2026-07-01
AMDL,Broad-watch baseline,exit,100.0000,73.3500,73.3500,2026-07-01
AMN,Broad-watch baseline,partial,50.0000,33.2400,33.2400,2026-07-01
AMN,Broad-watch baseline,exit,50.0000,33.1300,33.1300,2026-07-07
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
CNC,Broad-watch baseline,exit,100.0000,66.5500,66.5500,2026-07-06
IMVT,Broad-watch baseline,exit,100.0000,37.9800,37.9800,2026-06-26
M,Broad-watch baseline,exit,100.0000,25.3200,25.6500,2026-06-29
MFG,Broad-watch baseline,partial,50.0000,10.5700,10.5700,2026-07-14
MFG,Broad-watch baseline,exit,50.0000,10.3900,10.3900,2026-07-16
PBI,Broad-watch baseline,exit,100.0000,17.1700,17.1700,2026-07-02
PGNY,Broad-watch baseline,partial,50.0000,28.8300,28.8300,2026-06-30
PGNY,Broad-watch baseline,exit,50.0000,31.2600,31.3500,2026-07-23
PII,Broad-watch baseline,exit,100.0000,71.2500,71.2500,2026-06-26
TNA,Broad-watch baseline,exit,100.0000,72.2900,72.4399,2026-06-26
UBS,Broad-watch baseline,exit,100.0000,51.2500,51.2500,2026-07-08
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
URTY,Broad-watch baseline,exit,100.0000,84.1800,84.3250,2026-06-26
VSTS,Broad-watch baseline,partial,50.0000,14.8300,14.8300,2026-06-29
VSTS,Broad-watch baseline,exit,50.0000,13.5200,13.5200,2026-07-07
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
AMN,Broad-watch baseline,partial,50.0000,33.2400,33.2400,2026-07-01
AMN,Broad-watch baseline,exit,50.0000,33.1300,33.1300,2026-07-07
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
AXGN,Broad-watch baseline,exit,100.0000,43.3300,43.3300,2026-07-02
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-07-08
CYTK,Broad-watch baseline,exit,100.0000,80.3700,80.3700,2026-06-26
DRH,Broad-watch baseline,exit,100.0000,12.2500,12.2500,2026-06-29
IMVT,Broad-watch baseline,exit,100.0000,37.9800,37.9800,2026-06-26
PBI,Broad-watch baseline,exit,100.0000,17.1700,17.1700,2026-07-02
PGNY,Broad-watch baseline,partial,50.0000,28.8300,28.8300,2026-06-30
PGNY,Broad-watch baseline,exit,50.0000,31.2600,31.3500,2026-07-23
TNA,Broad-watch baseline,exit,100.0000,72.2900,72.4399,2026-06-26
UBS,Broad-watch baseline,exit,100.0000,51.2500,51.2500,2026-07-08
UDOW,Broad-watch baseline,exit,100.0000,67.7800,68.4500,2026-06-26
ULCC,Broad-watch baseline,exit,100.0000,7.7000,7.7000,2026-06-29
URTY,Broad-watch baseline,exit,100.0000,84.1800,84.3250,2026-06-26
ZVRA,Broad-watch baseline,exit,100.0000,13.9800,13.9800,2026-07-01
AMN,Broad-watch baseline,partial,50.0000,33.2400,33.2400,2026-07-01
AMN,Broad-watch baseline,exit,50.0000,33.1300,33.1300,2026-07-07
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
AVR,Broad-watch baseline,exit,100.0000,10.0700,10.0700,2026-07-07
AXGN,Broad-watch baseline,exit,100.0000,43.3300,43.3300,2026-07-02
BBGI,Broad-watch baseline,partial,50.0000,25.5800,25.5800,2026-07-01
BBGI,Broad-watch baseline,exit,50.0000,24.9900,24.9900,2026-07-02
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-07-08
CPRX,Broad-watch baseline,mtm,100.0000,31.4900,31.4900,2026-07-15
CXW,Broad-watch baseline,partial,50.0000,31.0100,31.0100,2026-07-01
CXW,Broad-watch baseline,exit,50.0000,29.5500,29.5500,2026-07-07
IMVT,Broad-watch baseline,exit,100.0000,39.2400,39.2800,2026-07-13
OGN,Broad-watch baseline,exit,100.0000,13.4900,13.4900,2026-06-30
PGNY,Broad-watch baseline,partial,50.0000,29.4500,29.4500,2026-07-01
PGNY,Broad-watch baseline,exit,50.0000,31.2600,31.3500,2026-07-23
TNA,Broad-watch baseline,exit,100.0000,74.0000,74.0000,2026-07-02
UBS,Broad-watch baseline,exit,100.0000,51.2500,51.2500,2026-07-08
UDOW,Broad-watch baseline,partial,50.0000,72.5000,72.5000,2026-07-07
UDOW,Broad-watch baseline,exit,50.0000,69.0750,69.0750,2026-07-08
URTY,Broad-watch baseline,exit,100.0000,86.1700,86.1700,2026-07-02
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
AMN,Broad-watch baseline,exit,100.0000,33.4800,33.4800,2026-07-07
ARMK,Broad-watch baseline,partial,50.0000,56.2900,56.2900,2026-07-02
ARMK,Broad-watch baseline,exit,50.0000,56.2300,56.2300,2026-07-16
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
ASX,Broad-watch baseline,exit,100.0000,42.5300,42.5300,2026-07-02
AVR,Broad-watch baseline,exit,100.0000,10.0700,10.0700,2026-07-07
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-07-08
OGN,Broad-watch baseline,exit,100.0000,13.5100,13.5100,2026-07-06
TNA,Broad-watch baseline,exit,100.0000,74.0000,74.0000,2026-07-02
UBS,Broad-watch baseline,exit,100.0000,51.2500,51.2500,2026-07-08
UDOW,Broad-watch baseline,partial,50.0000,72.5000,72.5000,2026-07-07
UDOW,Broad-watch baseline,exit,50.0000,69.0750,69.0750,2026-07-08
URTY,Broad-watch baseline,exit,100.0000,86.1700,86.1700,2026-07-02
AMN,Broad-watch baseline,exit,100.0000,33.4800,33.4800,2026-07-07
AVR,Broad-watch baseline,exit,100.0000,10.0700,10.0700,2026-07-07
AXGN,Broad-watch baseline,exit,100.0000,43.3300,43.3300,2026-07-02
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-07-08
DAL,Broad-watch baseline,exit,100.0000,91.9800,91.9800,2026-07-06
MRX,Broad-watch baseline,exit,100.0000,67.3500,67.3500,2026-07-10
TNA,Broad-watch baseline,exit,100.0000,74.0000,74.0000,2026-07-02
UBS,Broad-watch baseline,exit,100.0000,51.2500,51.2500,2026-07-08
UDOW,Broad-watch baseline,partial,50.0000,72.5000,72.5000,2026-07-07
UDOW,Broad-watch baseline,exit,50.0000,69.0750,69.0750,2026-07-08
URTY,Broad-watch baseline,exit,100.0000,86.1700,86.1700,2026-07-02
VIRT,Broad-watch baseline,exit,100.0000,64.9650,64.9650,2026-07-13
YETI,Broad-watch baseline,exit,100.0000,50.1700,50.1700,2026-07-21
AMN,A+ baseline,exit,100.0000,33.4800,33.4800,2026-07-07
ARWR,Broad-watch baseline,exit,100.0000,84.5490,84.5490,2026-07-08
AVR,Broad-watch baseline,exit,100.0000,10.0700,10.0700,2026-07-07
BCS,Broad-watch baseline,exit,100.0000,27.8600,27.8900,2026-07-07
BEN,Broad-watch baseline,exit,100.0000,33.2700,33.2700,2026-07-08
DHC,Broad-watch baseline,exit,100.0000,9.1950,9.1950,2026-07-23
DNLI,Broad-watch baseline,exit,100.0000,25.4300,25.4300,2026-07-06
DRH,Broad-watch baseline,partial,50.0000,12.9000,12.9000,2026-07-22
DRH,Broad-watch baseline,mtm,50.0000,13.2400,13.2400,2026-07-31
FTRE,Broad-watch baseline,exit,100.0000,17.3800,17.3800,2026-07-02
IMVT,Broad-watch baseline,partial,50.0000,39.7100,39.7100,2026-07-10
IMVT,Broad-watch baseline,exit,50.0000,39.2400,39.2800,2026-07-13
OGN,Broad-watch baseline,exit,100.0000,13.5100,13.5100,2026-07-06
