exemplar_id,ticker,timing_mode,session,h1_outcome,bucket,fired_faithful_expected,fired_isolated_expected,fired_classes_faithful,fired_classes_isolated
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-18,surfaced_aplus,aplus,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-19,surfaced_watch,watch,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-20,surfaced_watch,watch,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-21,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-22,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-25,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-26,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-27,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-28,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-10-29,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-01,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-02,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-03,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-04,skip_gate_rejection,skip,False,True,,double_bottom_w;high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-05,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-08,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-09,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-10,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-11,skip_gate_rejection,skip,False,False,,high_tight_flag
twosmw-fig10-40-lulu,LULU,window_sweep,2010-11-12,surfaced_watch,watch,False,False,,high_tight_flag
twosmw-fig11-6-dks,DKS,single_session,2003-04-01,skip_insufficient_history,,False,False,,high_tight_flag
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-03,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-06,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-07,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-08,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-09,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-10,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-13,skip_insufficient_history,,False,False,,
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-14,skip_insufficient_history,,False,True,,double_bottom_w
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-15,skip_insufficient_history,,False,True,,double_bottom_w
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-16,skip_insufficient_history,,False,True,,double_bottom_w
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-17,skip_insufficient_history,,False,True,,double_bottom_w
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-21,skip_insufficient_history,,False,True,,double_bottom_w;vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-22,skip_insufficient_history,,False,True,,double_bottom_w;vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-23,skip_insufficient_history,,False,False,,vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-24,skip_insufficient_history,,False,False,,vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-27,skip_insufficient_history,,False,False,,vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-28,skip_insufficient_history,,False,False,,vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-29,skip_insufficient_history,,False,False,,vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-30,skip_insufficient_history,,False,False,,vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-01-31,skip_insufficient_history,,False,False,,cup_with_handle;vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-02-03,skip_insufficient_history,,False,False,,flat_base;vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-02-04,skip_insufficient_history,,False,False,,flat_base;vcp
twosmw-fig11-6-dks,DKS,window_sweep,2003-02-05,skip_insufficient_history,,False,False,,flat_base;vcp
