pattern_id,ticker,ruleset_name,anchor_asof_date,trough_1_date,center_peak_price,trough_2_price,initial_stop,composite_score,triggered,entry_date,entry_price,exit_date,exit_price,exit_reason,r_multiple,trade_pnl_dollars,peak_unrealized_R,drawdown_to_exit_R,days_held,status,forward_bars_available,max_forward_close,max_close_pct_of_peak,days_t2_to_asof
DK-2023-08-31,DK,C_close_below_50d,2026-05-15,2023-08-31,30.7100,24.8200,24.5718,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1664,-6.24,0.0328,0.1993,2,closed,5,45.5400,148.3,952
DK-2023-10-26,DK,A_minervini_trail_ma,2026-05-15,2023-10-26,27.0000,24.9100,24.6609,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1672,-6.27,0.0330,0.2001,2,closed,5,45.5400,168.7,918
DK-2023-10-26,DK,B_fixed_R_multiple,2026-05-15,2023-10-26,27.0000,24.9100,24.6609,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0917,-3.44,0.0330,0.1246,3,open,5,45.5400,168.7,918
DK-2023-10-26,DK,C_close_below_50d,2026-05-15,2023-10-26,27.0000,24.9100,24.6609,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1672,-6.27,0.0330,0.2001,2,closed,5,45.5400,168.7,918
DK-2024-08-06,DK,A_minervini_trail_ma,2026-05-15,2024-08-06,21.9200,18.7500,18.5625,0.9333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1294,-4.85,0.0255,0.1550,2,closed,5,45.5400,207.8,613
DK-2024-08-06,DK,B_fixed_R_multiple,2026-05-15,2024-08-06,21.9200,18.7500,18.5625,0.9333,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0710,-2.66,0.0255,0.0965,3,open,5,45.5400,207.8,613
DK-2024-08-06,DK,C_close_below_50d,2026-05-15,2024-08-06,21.9200,18.7500,18.5625,0.9333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1294,-4.85,0.0255,0.1550,2,closed,5,45.5400,207.8,613
DK-2024-09-09,DK,A_minervini_trail_ma,2026-05-15,2024-09-09,20.3200,18.6800,18.4932,0.9333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1291,-4.84,0.0255,0.1546,2,closed,5,45.5400,224.1,590
DK-2024-09-09,DK,B_fixed_R_multiple,2026-05-15,2024-09-09,20.3200,18.6800,18.4932,0.9333,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0708,-2.66,0.0255,0.0963,3,open,5,45.5400,224.1,590
DK-2024-09-09,DK,C_close_below_50d,2026-05-15,2024-09-09,20.3200,18.6800,18.4932,0.9333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1291,-4.84,0.0255,0.1546,2,closed,5,45.5400,224.1,590
DK-2024-11-01,DK,A_minervini_trail_ma,2026-05-15,2024-11-01,19.9000,15.9400,15.7806,0.8333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1174,-4.40,0.0231,0.1405,2,closed,5,45.5400,228.8,511
DK-2024-11-01,DK,B_fixed_R_multiple,2026-05-15,2024-11-01,19.9000,15.9400,15.7806,0.8333,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0644,-2.41,0.0231,0.0875,3,open,5,45.5400,228.8,511
DK-2024-11-01,DK,C_close_below_50d,2026-05-15,2024-11-01,19.9000,15.9400,15.7806,0.8333,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1174,-4.40,0.0231,0.1405,2,closed,5,45.5400,228.8,511
DK-2025-03-10,DK,A_minervini_trail_ma,2026-05-15,2025-03-10,17.4500,11.5500,11.4345,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1024,-3.84,0.0202,0.1226,2,closed,5,45.5400,261.0,402
DK-2025-03-10,DK,B_fixed_R_multiple,2026-05-15,2025-03-10,17.4500,11.5500,11.4345,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0562,-2.11,0.0202,0.0764,3,open,5,45.5400,261.0,402
DK-2025-03-10,DK,C_close_below_50d,2026-05-15,2025-03-10,17.4500,11.5500,11.4345,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1024,-3.84,0.0202,0.1226,2,closed,5,45.5400,261.0,402
DK-2025-06-24,DK,A_minervini_trail_ma,2026-05-15,2025-06-24,26.6700,20.0400,19.8396,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1359,-5.10,0.0268,0.1627,2,closed,5,45.5400,170.8,282
DK-2025-06-24,DK,B_fixed_R_multiple,2026-05-15,2025-06-24,26.6700,20.0400,19.8396,0.7667,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.0745,-2.79,0.0268,0.1013,3,open,5,45.5400,170.8,282
DK-2025-06-24,DK,C_close_below_50d,2026-05-15,2025-06-24,26.6700,20.0400,19.8396,0.7667,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.1359,-5.10,0.0268,0.1627,2,closed,5,45.5400,170.8,282
DK-2026-01-20,DK,A_minervini_trail_ma,2026-05-15,2026-01-20,35.5300,33.0200,32.6898,0.7525,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.2711,-10.17,0.0534,0.3245,2,closed,5,45.5400,128.2,92
DK-2026-01-20,DK,B_fixed_R_multiple,2026-05-15,2026-01-20,35.5300,33.0200,32.6898,0.7525,true,2026-05-19,45.6000,2026-05-22,43.6800,open_at_data_tail,-0.1487,-5.58,0.0534,0.2022,3,open,5,45.5400,128.2,92
DK-2026-01-20,DK,C_close_below_50d,2026-05-15,2026-01-20,35.5300,33.0200,32.6898,0.7525,true,2026-05-19,45.6000,2026-05-21,42.1000,close_below_50d,-0.2711,-10.17,0.0534,0.3245,2,closed,5,45.5400,128.2,92
